"Tail_Number","NumberOfFlights","Average_Departure_Delay"
"""N2044J""","31","27.516129032258064"
"""N630NK""","142","27.471830985915492"
"""N76522""","86","27.41860465116279"
"""N440AW""","95","27.378947368421052"
"""N924VA""","24","27.375"
"""N922FJ""","52","27.346153846153847"
"""N997AA""","66","27.333333333333332"
"""N309PC""","51","27.313725490196077"
"""N17105""","73","27.301369863013697"
"""N630JB""","83","27.301204819277107"
"""N121SY""","117","27.299145299145298"
"""N827MH""","7","27.285714285714285"
"""N311FR""","128","27.265625"
"""N953AN""","97","27.22680412371134"
"""N9019F""","80","27.225"
"""N457UA""","85","27.223529411764705"
"""N637NK""","120","27.208333333333332"
"""N682DA""","108","27.203703703703702"
"""N751SW""","150","27.2"
"""N795SK""","104","27.192307692307693"
"""N2644U""","17","27.176470588235293"
"""N969JT""","73","27.164383561643834"
"""216NV""","97","27.09278350515464"
"""N12142""","133","27.075187969924812"
"""N905XJ""","81","27.037037037037038"
"""N505JB""","85","27.03529411764706"
"""N364FR""","132","27.03030303030303"
"""N508GJ""","132","27.022727272727273"
"""N975SW""","111","27.00900900900901"
"""N213WN""","4","27.0"
"""N603FR""","110","26.990909090909092"
"""N110DU""","125","26.96"
"""N57863""","52","26.942307692307693"
"""N7725A""","118","26.915254237288135"
"""N752US""","126","26.873015873015873"
"""N351JB""","46","26.82608695652174"
"""N37422""","84","26.821428571428573"
"""N61881""","63","26.80952380952381"
"""N76502""","108","26.805555555555557"
"""N582NW""","99","26.78787878787879"
"""N649AW""","118","26.73728813559322"
"""N41140""","49","26.6734693877551"
"""N29981""","9","26.666666666666668"
"""N526NK""","113","26.628318584070797"
"""N337DN""","85","26.6"
"""N932EV""","99","26.585858585858585"
"""N808AN""","11","26.545454545454547"
"""275NV""","52","26.51923076923077"
"""240NV""","83","26.518072289156628"
"""N924AN""","82","26.51219512195122"
"""N679SA""","92","26.51086956521739"
"""N779SK""","92","26.51086956521739"
"""N778SW""","66","26.5"
"""N109UW""","27","26.48148148148148"
"""N996AN""","109","26.477064220183486"
"""N167SY""","100","26.47"
"""N596NW""","92","26.456521739130434"
"""N803AW""","104","26.451923076923077"
"""259NV""","69","26.44927536231884"
"""N229FR""","101","26.445544554455445"
"""N13202""","88","26.431818181818183"
"""N2102J""","35","26.428571428571427"
"""N969AN""","43","26.3953488372093"
"""N627NK""","126","26.357142857142858"
"""N963SW""","93","26.344086021505376"
"""N604UX""","121","26.33884297520661"
"""N342NW""","111","26.333333333333332"
"""N708UW""","123","26.32520325203252"
"""N324FR""","86","26.313953488372093"
"""N86311""","102","26.30392156862745"
"""N270SY""","121","26.264462809917354"
"""N343FR""","111","26.243243243243242"
"""N17138""","90","26.233333333333334"
"""N47517""","96","26.208333333333332"
"""N608AT""","130","26.20769230769231"
"""N661NK""","113","26.20353982300885"
"""N782UA""","21","26.19047619047619"
"""N603CZ""","107","26.186915887850468"
"""N409UA""","87","26.160919540229884"
"""N816SK""","106","26.160377358490567"
"""N958AN""","89","26.146067415730336"
"""N657NK""","103","26.145631067961165"
"""N430AN""","91","26.142857142857142"
"""N653JB""","84","26.13095238095238"
"""N382HA""","47","26.127659574468087"
"""N324US""","95","26.126315789473683"
"""N209HA""","46","26.08695652173913"
"""N777AN""","12","26.083333333333332"
"""N77530""","83","26.012048192771083"
"""N917UY""","115","25.982608695652175"
"""N756SK""","89","25.96629213483146"
"""N81449""","55","25.963636363636365"
"""N219UA""","64","25.921875"
"""N21129""","139","25.92086330935252"
"""N807AW""","116","25.913793103448278"
"""N82333""","88","25.90909090909091"
"""N36247""","100","25.87"
"""N403DX""","7","25.857142857142858"
"""N2105J""","31","25.838709677419356"
"""N457SW""","116","25.78448275862069"
"""N14148""","60","25.783333333333335"
"""N809AA""","26","25.76923076923077"
"""N665AW""","88","25.71590909090909"
"""N323NB""","100","25.71"
"""N75435""","42","25.666666666666668"
"""N430SW""","133","25.661654135338345"
"""N8612K""","151","25.642384105960264"
"""N187US""","108","25.63888888888889"
"""N181GJ""","108","25.63888888888889"
"""N292NN""","123","25.634146341463413"
"""N26970""","5","25.6"
"""N348NW""","93","25.580645161290324"
"""N370NB""","101","25.574257425742573"
"""N193UW""","106","25.537735849056602"
"""N218HA""","58","25.517241379310345"
"""N971SW""","100","25.51"
"""N608SK""","91","25.505494505494507"
"""N376NW""","129","25.496124031007753"
"""N923US""","106","25.49056603773585"
"""N24212""","106","25.49056603773585"
"""N69835""","85","25.48235294117647"
"""N78005""","29","25.448275862068964"
"""N922EV""","74","25.445945945945947"
"""N135SY""","19","25.42105263157895"
"""N721FR""","108","25.40740740740741"
"""N501DN""","8","25.375"
"""N709SK""","57","25.350877192982455"
"""N640AE""","103","25.349514563106798"
"""N578GJ""","134","25.328358208955223"
"""N381FR""","114","25.31578947368421"
"""N78017""","14","25.285714285714285"
"""N89357""","89","25.269662921348313"
"""N115NN""","72","25.26388888888889"
"""N9006""","98","25.255102040816325"
"""N677UA""","4","25.25"
"""N123UW""","146","25.23972602739726"
"""N72405""","113","25.238938053097346"
"""N716FR""","42","25.238095238095237"
"""N12136""","72","25.23611111111111"
"""N972JT""","82","25.23170731707317"
"""N83329""","101","25.207920792079207"
"""N14180""","106","25.18867924528302"
"""N323US""","79","25.17721518987342"
"""N193JB""","164","25.176829268292682"
"""N960WN""","132","25.174242424242426"
"""N933NK""","109","25.165137614678898"
"""N320SY""","118","25.161016949152543"
"""N376FR""","110","25.145454545454545"
"""N806UA""","114","25.13157894736842"
"""N806SK""","135","25.118518518518517"
"""N473UA""","88","25.102272727272727"
"""229NV""","48","25.083333333333332"
"""N648JB""","68","25.073529411764707"
"""N26232""","102","25.068627450980394"
"""N494CA""","98","25.051020408163264"
"""N503DZ""","84","25.035714285714285"
"""N16709""","70","25.014285714285716"
"""N766AN""","8","25.0"
"""N668NK""","122","24.991803278688526"
"""N371FR""","81","24.97530864197531"
"""N580UW""","110","24.972727272727273"
"""N766US""","124","24.95967741935484"
"""N523NK""","106","24.952830188679247"
"""N317PG""","79","24.936708860759495"
"""N331NB""","97","24.927835051546392"
"""N460AW""","113","24.884955752212388"
"""N592JB""","75","24.88"
"""N806DN""","72","24.875"
"""N447SW""","92","24.83695652173913"
"""N932NN""","48","24.833333333333332"
"""N17159""","48","24.833333333333332"
"""N87303""","86","24.825581395348838"
"""N312FR""","124","24.822580645161292"
"""N306DU""","120","24.808333333333334"
"""N118NN""","82","24.804878048780488"
"""N122US""","121","24.801652892561982"
"""N654NK""","124","24.766129032258064"
"""N215UA""","74","24.743243243243242"
"""N778UA""","65","24.73846153846154"
"""N375NC""","141","24.72340425531915"
"""N307FR""","125","24.712"
"""N185DN""","53","24.69811320754717"
"""N765ST""","23","24.695652173913043"
"""N90024""","78","24.67948717948718"
"""N392HA""","54","24.666666666666668"
"""N8009T""","57","24.649122807017545"
"""N468AW""","98","24.642857142857142"
"""N333NB""","120","24.633333333333333"
"""N139DU""","107","24.60747663551402"
"""N537GJ""","130","24.6"
"""N233FR""","107","24.588785046728972"
"""N565WN""","7","24.571428571428573"
"""N927NK""","75","24.56"
"""N6707A""","104","24.548076923076923"
"""N994JL""","87","24.54022988505747"
"""N776DE""","81","24.530864197530864"
"""N595JB""","83","24.50602409638554"
"""N12004""","12","24.5"
"""N836SK""","111","24.47747747747748"
"""N935JB""","77","24.467532467532468"
"""N839SK""","154","24.467532467532468"
"""N360NW""","130","24.453846153846154"
"""N746UW""","123","24.4390243902439"
"""N393FR""","98","24.43877551020408"
"""N670DN""","109","24.412844036697248"
"""N3104J""","112","24.410714285714285"
"""N752SK""","79","24.40506329113924"
"""N14162""","136","24.404411764705884"
"""N828AW""","97","24.4020618556701"
"""N574DZ""","30","24.4"
"""N730EV""","23","24.391304347826086"
"""N75432""","80","24.3875"
"""N830AW""","112","24.383928571428573"
"""N435QX""","45","24.377777777777776"
"""N915SW""","70","24.357142857142858"
"""N792SK""","117","24.35042735042735"
"""N667NK""","108","24.333333333333332"
"""N839UA""","103","24.33009708737864"
"""N711FR""","118","24.322033898305083"
"""N676DL""","106","24.29245283018868"
"""N45956""","7","24.285714285714285"
"""N571JB""","90","24.255555555555556"
"""N8725L""","122","24.25409836065574"
"""N838MH""","14","24.214285714285715"
"""N37530""","90","24.2"
"""N570JB""","83","24.19277108433735"
"""N418AN""","95","24.147368421052633"
"""N57868""","70","24.142857142857142"
"""N546US""","115","24.121739130434783"
"""N348JB""","149","24.120805369127517"
"""N153SY""","108","24.12037037037037"
"""N524NK""","112","24.107142857142858"
"""N543GJ""","117","24.102564102564102"
"""N396HA""","41","24.097560975609756"
"""N380DN""","123","24.08130081300813"
